user_id,age,gender,food_choice,berth_choice,opted_berth,opted_ss_concession,bedroll_choice
864308,40,M,,WS,0,1,0
883534,49,M,,NC,0,1,0
900991,23,M,,SL,0,0,0
906967,28,M,V,MB,0,1,0
907694,33,M,,NC,0,0,0
910988,27,M,,NC,0,1,0
911690,42,F,,LB,0,1,0
918764,39,M,,SL,0,1,0
919631,30,M,,SL,0,0,0
923218,38,M,,UB,0,0,0
923352,23,M,,WS,0,0,0
926492,45,M,,NC,0,1,0
931268,32,M,,NC,0,1,0
932739,21,M,,NC,0,0,0
934925,27,M,,UB,0,0,0
943741,35,M,V,WS,0,0,0
956248,44,M,N,LB,0,0,0
960242,32,M,,LB,0,1,0
963195,36,M,D,LB,0,0,0
964284,63,F,,LB,0,1,0
968779,47,F,,UB,0,0,0
969176,39,M,,SL,0,0,0
977602,28,M,,LB,0,1,-1
982359,37,M,,SL,0,0,0
988776,27,M,V,SL,0,0,0
996915,42,M,,SL,0,1,0
1004243,23,M,,UB,0,0,0
1015931,31,M,V,LB,0,1,0
1021999,21,M,,UB,0,0,0
1022269,46,M,,NC,0,0,0
1026094,48,M,,LB,0,0,0
1026630,30,M,,LB,0,0,0
1028692,24,M,,WS,0,0,0
1031206,46,M,,LB,0,1,0
1031228,34,M,,WS,0,0,0
1037714,28,M,,NC,0,0,0
1039794,35,F,V,LB,0,0,0
1042688,39,M,N,SL,0,0,0
1043028,24,M,,LB,0,1,0
1045892,47,M,,LB,0,0,0
1046230,46,M,,NC,0,0,0
1046719,29,M,,UB,0,1,0
1053627,31,M,,UB,0,0,0
1055194,21,M,V,UB,0,1,0
1057178,35,M,,LB,0,0,0
1057875,65,M,,LB,0,1,1
1062399,37,M,,WS,0,0,0
1063085,26,M,,WS,0,0,0
1066153,29,M,,SL,0,0,0
1066757,30,M,,WS,0,0,0
1069404,29,F,,NC,0,0,0
1073211,28,F,,NC,0,0,0
1074631,39,F,,SL,0,1,0
1076664,29,M,,SL,0,1,0
1080809,19,F,,LB,0,0,0
1084402,26,M,,LB,0,1,0
1086720,25,M,,NC,0,0,0
1093235,40,M,,UB,0,0,0
1111014,42,M,,SL,0,1,0
1117072,35,M,,LB,0,0,0
1118318,47,M,,LB,0,0,0
1119528,46,M,,LB,0,0,0
1131648,30,M,,NC,0,0,0
1135594,24,M,,CB,0,0,0
1140591,41,M,,LB,0,0,0
1147812,35,M,,SL,0,0,0
1149139,32,F,,LB,0,0,0
1150822,27,M,,SL,0,0,0
1159246,27,M,,SU,0,0,0
1160385,55,M,,SL,0,0,0
1160831,34,M,,LB,0,1,0
1168368,25,M,,UB,0,0,0
1172498,27,M,,LB,0,0,0
1174833,40,M,,SU,0,0,0
1177043,60,M,V,NC,0,1,0
1183181,25,F,,LB,0,1,1
1191164,23,M,,NC,0,0,0
1191960,25,M,,LB,0,0,0
1192239,13,M,V,LB,0,0,0
